player_name,team,Position,Match,Minutes played,Successful Actions,Total Actions,Action Efficiency,Best Position
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Lipscomb Bisons 2:1,101,34,63,0.5396825396825397,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Michigan State Spartans 3:1,87,41,59,0.6949152542372882,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Michigan Wolverines 0:0,96,54,72,0.75,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Michigan Wolverines 4:3,112,46,69,0.6666666666666666,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Northwestern Wildcats 6:1,106,60,92,0.6521739130434783,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Notre Dame Fighting Irish 2:2,100,37,63,0.5873015873015873,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Ohio State Buckeyes 2:1,106,30,52,0.5769230769230769,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Penn State Nittany Lion 1:0,104,31,59,0.5254237288135594,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Penn State Nittany Lion 2:0,107,72,97,0.7422680412371134,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Rutgers Scarlet Knights 4:1,107,30,58,0.5172413793103449,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Seton Hall Pirates 1:0,106,61,79,0.7721518987341772,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Washington Huskies 0:1,104,52,88,0.5909090909090909,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Washington Huskies 2:2,103,48,70,0.6857142857142857,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Wisconsin Badgers 0:0,93,59,92,0.6413043478260869,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Indiana Hoosiers - Wisconsin Badgers 2:1,103,30,59,0.5084745762711864,"LB, LWB"
A. Barger,Indiana Hoosiers,"LB, LWB",Indiana Hoosiers - Yale Bulldogs 2:0,105,57,87,0.6551724137931034,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Kentucky Wildcats - Indiana Hoosiers 1:1,81,41,68,0.6029411764705882,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Maryland College Park Terrapins - Indiana Hoosiers 1:2,97,36,62,0.5806451612903226,"LB, LWB"
A. Barger,Indiana Hoosiers,"LB, RB",Michigan State Spartans - Indiana Hoosiers 2:1,102,47,80,0.5875,"LB, LWB"
A. Barger,Indiana Hoosiers,0,Michigan Wolverines - Indiana Hoosiers 0:5,23,14,21,0.6666666666666666,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Northwestern Wildcats - Indiana Hoosiers 1:0,76,29,48,0.6041666666666666,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Notre Dame Fighting Irish - Indiana Hoosiers (P) 1:1,120,43,84,0.5119047619047619,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Notre Dame Fighting Irish - Indiana Hoosiers 1:1,100,55,84,0.6547619047619048,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Ohio State Buckeyes - Indiana Hoosiers 2:2,49,19,35,0.5428571428571428,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Penn State Nittany Lion - Indiana Hoosiers 1:2,106,47,78,0.6025641025641025,"LB, LWB"
A. Barger,Indiana Hoosiers,0,Rutgers Scarlet Knights - Indiana Hoosiers 0:1,4,1,5,0.2,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Saint Louis Billikens - Indiana Hoosiers 2:0,84,40,68,0.5882352941176471,"LB, LWB"
A. Barger,Indiana Hoosiers,"LB, LB5",UCLA Bruins - Indiana Hoosiers 1:2,97,32,59,0.5423728813559322,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,USF Bulls - Indiana Hoosiers 1:0,45,28,40,0.7,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Virginia Cavaliers - Indiana Hoosiers 0:1,99,39,69,0.5652173913043478,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Wake Forest Demon Deacon - Indiana Hoosiers 2:3 (E),127,54,90,0.6,"LB, LWB"
A. Barger,Indiana Hoosiers,LB,Wisconsin Badgers - Indiana Hoosiers 2:3,101,31,54,0.5740740740740741,"LB, LWB"
A. Bilow,Ohio State Buckeyes,LW,Akron Zips - Ohio State Buckeyes 0:2,64,21,29,0.7241379310344828,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Akron Zips - Ohio State Buckeyes 3:3,8,2,6,0.3333333333333333,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,LW,Bowling Green Falcons - Ohio State Buckeyes 0:1,21,7,11,0.6363636363636364,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, CF",Butler Bulldogs - Ohio State Buckeyes 0:1,59,18,40,0.45,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Indiana Hoosiers - Ohio State Buckeyes 2:1,22,4,11,0.36363636363636365,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,"LW, CF",Louisville Cardinals - Ohio State Buckeyes 2:2,47,22,38,0.5789473684210527,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Maryland College Park Terrapins - Ohio State Buckeyes 1:0,21,7,13,0.5384615384615384,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,RW,Maryland College Park Terrapins - Ohio State Buckeyes 1:2,44,14,19,0.7368421052631579,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Michigan State Spartans - Ohio State Buckeyes 0:1,16,3,4,0.75,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,CF,Michigan State Spartans - Ohio State Buckeyes 2:3,16,4,8,0.5,"RAMF, RW"
A. Bilow,Ohio State Buckeyes,0,Michigan Wolverines - Ohio State Buckeyes 1:3,8,2,5,0.4,"RAMF, RW"
